id,signature,count
348,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Right Back,32
349,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Left Center Forward,32
350,Pass|height=Low Pass|recipient_position=Center Back|type=Throw-in,32
351,50/50|outcome=Success To Team,31
352,Pass|body_part=Left Foot|height=Ground Pass|outcome=Out,31
353,Pass|body_part=Left Foot|height=High Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield,31
354,Pass|body_part=Right Foot|height=Ground Pass|outcome=Out,31
355,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Defensive Midfield|shot_assist=True,31
356,Pass|body_part=Right Foot|height=High Pass|recipient_position=Right Wing|type=Recovery,31
357,Pass|body_part=Right Foot|height=Low Pass|outcome=Incomplete|recipient_position=Left Center Forward,31
358,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Right Midfield,31
359,Shot|body_part=Right Foot|first_time=True|outcome=Goal|technique=Normal|type=Open Play,31
360,Pass|aerial_won=True|height=High Pass|outcome=Incomplete|recipient_position=Center Forward,30
361,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Center Midfield|type=Recovery,30
362,Pass|body_part=Left Foot|height=High Pass|outcome=Incomplete|recipient_position=Center Forward|type=Recovery,30
363,Pass|body_part=Left Foot|height=High Pass|recipient_position=Right Center Forward,30
364,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Midfield,30
365,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Goalkeeper,30
366,Pass|height=High Pass|recipient_position=Left Wing|type=Throw-in,30
367,Pass|aerial_won=True|height=High Pass|outcome=Incomplete|recipient_position=Center Forward|type=Recovery,29
368,Pass|aerial_won=True|height=High Pass|recipient_position=Left Defensive Midfield|type=Recovery,29
369,Pass|body_part=Head|height=High Pass|recipient_position=Center Attacking Midfield|type=Recovery,29
370,Pass|body_part=Head|height=High Pass|recipient_position=Center Defensive Midfield|type=Recovery,29
371,Pass|body_part=Head|height=Low Pass|recipient_position=Left Center Back|type=Recovery,29
372,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Left Wing Back|type=Recovery,29
373,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Defensive Midfield|type=Recovery,29
374,Pass|body_part=Left Foot|height=High Pass|recipient_position=Right Back|switch=True,29
375,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Center Forward|type=Free Kick,29
376,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Right Attacking Midfield,29
377,Pass|body_part=Right Foot|height=Low Pass|outcome=Out,29
378,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Right Defensive Midfield|type=Recovery,29
379,Shot|body_part=Left Foot|first_time=True|outcome=Blocked|technique=Half Volley|type=Open Play,29
380,Shot|body_part=Right Foot|outcome=Goal|technique=Normal|type=Open Play,29
381,Dribble|outcome=Complete|overrun=True,28
382,Foul Committed|offensive=True|type=Handball,28
383,Goal Keeper|body_part=Both Hands|outcome=Touched Out|position=Set|technique=Diving|type=Shot Saved,28
384,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Center Forward|type=Recovery,28
385,Pass|body_part=Left Foot|height=High Pass|recipient_position=Right Center Midfield,28
386,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Right Wing,28
387,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Back|switch=True,28
388,Pass|body_part=Right Foot|height=High Pass|inswinging=True|outcome=Incomplete|switch=True|technique=Inswinging|type=Corner,28
389,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|outswinging=True|technique=Outswinging|type=Corner,28
390,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Center Forward|technique=Through Ball|through_ball=True,28
391,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Right Defensive Midfield,28
392,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|type=Goal Kick,28
393,Shot|body_part=Right Foot|outcome=Blocked|technique=Half Volley|type=Open Play,28
394,50/50|outcome=Won,27
395,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Left Wing|type=Recovery,27
396,Pass|body_part=Left Foot|height=High Pass|recipient_position=Left Center Back,27
397,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Center Defensive Midfield,27
398,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Left Wing Back,27
399,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Left Midfield,27
400,Pass|body_part=Right Foot|height=Low Pass|outcome=Incomplete|recipient_position=Right Defensive Midfield,27
401,Shot|body_part=Left Foot|first_time=True|outcome=Off T|technique=Normal|type=Open Play,27
402,Pass|aerial_won=True|height=Low Pass|recipient_position=Center Forward,26
403,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Right Center Midfield|type=Recovery,26
404,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Center Forward,26
405,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Back|type=Recovery,26
406,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Left Defensive Midfield,26
407,Pass|body_part=Right Foot|cross=True|height=Ground Pass|outcome=Incomplete,26
408,Pass|body_part=Right Foot|cross=True|height=High Pass|outcome=Incomplete|type=Free Kick,26
409,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Center Midfield|shot_assist=True,26
410,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Defensive Midfield|type=Free Kick,26
411,Pass|body_part=Right Foot|height=High Pass|recipient_position=Center Defensive Midfield,26
412,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Right Center Midfield|type=Recovery,26
413,Shot|body_part=Left Foot|first_time=True|outcome=Saved|technique=Normal|type=Open Play,26
414,Goal Keeper|outcome=No Touch|position=Moving|technique=Standing|type=Goal Conceded,25
415,Pass|aerial_won=True|height=High Pass|recipient_position=Center Forward,25
416,Pass|body_part=Head|height=Low Pass|recipient_position=Right Center Back|type=Recovery,25
417,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Wing|type=Recovery,25
418,Pass|body_part=Left Foot|height=Low Pass|outcome=Incomplete|recipient_position=Left Wing,25
419,Pass|body_part=Right Foot|cross=True|height=High Pass|outcome=Incomplete|switch=True,25
420,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Center Defensive Midfield|type=Free Kick,25
421,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Center Forward|type=Recovery,25
422,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Center Back|type=Kick Off,25
423,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|recipient_position=Left Attacking Midfield,25
424,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Center Back|switch=True,25
425,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Center Back,25
426,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Left Center Back|type=Recovery,25
427,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Left Defensive Midfield|type=Recovery,25
428,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Right Attacking Midfield,25
429,Dribble|nutmeg=True|outcome=Incomplete|overrun=True,24
430,Pass|aerial_won=True|height=High Pass|recipient_position=Left Wing|type=Recovery,24
431,Pass|body_part=Head|height=Low Pass|recipient_position=Left Wing Back|type=Recovery,24
432,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|type=Free Kick,24
433,Pass|body_part=Left Foot|cross=True|height=Low Pass|outcome=Incomplete,24
434,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Center Forward|shot_assist=True,24
435,Pass|body_part=Left Foot|height=High Pass|recipient_position=Right Wing Back|switch=True,24
436,Pass|body_part=Left Foot|height=High Pass|recipient_position=Right Wing|switch=True,24
437,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Center Attacking Midfield,24
438,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Right Center Forward,24
439,Pass|body_part=Right Foot|cross=True|height=Low Pass|outcome=Incomplete|recipient_position=Center Forward,24
440,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Center Forward|technique=Through Ball|through_ball=True,24
441,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Right Center Back,24
442,Pass|body_part=Right Foot|height=Ground Pass|outcome=Injury Clearance,24
443,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Center Back|type=Recovery,24
444,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Center Forward|shot_assist=True,24
445,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Right Wing,24
446,Pass|body_part=Right Foot|height=High Pass|recipient_position=Left Attacking Midfield,24
447,Pass|body_part=Right Foot|height=Low Pass|outcome=Incomplete|recipient_position=Right Back,24
448,Pass|height=High Pass|outcome=Incomplete|recipient_position=Left Center Forward|type=Throw-in,24
449,Pass|height=High Pass|outcome=Incomplete|recipient_position=Right Center Forward|type=Throw-in,24
450,Goal Keeper|body_part=Both Hands|outcome=In Play Danger|position=Set|technique=Standing|type=Shot Saved,23
451,Pass|body_part=Head|height=High Pass|recipient_position=Center Forward,23
452,Pass|body_part=Left Foot|height=Low Pass|recipient_position=Goalkeeper,23
453,Pass|body_part=Right Foot|cross=True|height=Ground Pass|outcome=Incomplete|recipient_position=Center Forward,23
454,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Center Midfield|shot_assist=True,23
455,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Left Back|type=Recovery,23
456,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Left Center Midfield|type=Recovery,23
457,Shot|body_part=Head|outcome=Wayward|technique=Normal|type=Open Play,23
458,Shot|body_part=Left Foot|outcome=Goal|technique=Normal|type=Open Play,23
459,Shot|body_part=Right Foot|outcome=Off T|technique=Half Volley|type=Open Play,23
460,Pass|aerial_won=True|height=High Pass|recipient_position=Center Forward|type=Recovery,22
461,Pass|body_part=Head|height=Low Pass|recipient_position=Center Attacking Midfield|type=Recovery,22
462,Pass|body_part=Head|height=Low Pass|recipient_position=Center Forward,22
463,Pass|body_part=Head|height=Low Pass|recipient_position=Center Forward|type=Recovery,22
464,Pass|body_part=Head|height=Low Pass|recipient_position=Left Wing|type=Recovery,22
465,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Center Attacking Midfield|type=Recovery,22
466,Pass|body_part=Left Foot|height=High Pass|outcome=Incomplete|recipient_position=Right Center Midfield,22
467,Pass|body_part=Left Foot|height=High Pass|recipient_position=Left Midfield,22
468,Pass|body_part=Left Foot|height=High Pass|recipient_position=Right Center Back,22
469,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Left Attacking Midfield,22
470,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Goalkeeper|type=Interception,22
471,Pass|body_part=Right Foot|height=High Pass|outcome=Out|recipient_position=Center Forward,22
472,Pass|body_part=Right Foot|height=High Pass|outcome=Out|switch=True,22
473,Pass|body_part=Right Foot|height=High Pass|outcome=Unknown,22
474,Pass|body_part=Right Foot|height=Low Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield,22
475,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Goalkeeper|type=Recovery,22
476,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Right Back|switch=True,22
477,Pass|height=Low Pass|recipient_position=Left Center Forward|type=Throw-in,22
478,Goal Keeper|body_part=Both Hands|outcome=Success|position=Set|technique=Diving|type=Shot Saved,21
479,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Defensive Midfield|type=Recovery,21
480,Pass|body_part=Drop Kick|height=High Pass|outcome=Incomplete,21
481,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Right Wing|type=Recovery,21
482,Pass|body_part=Head|height=High Pass|recipient_position=Left Back|type=Recovery,21
483,Pass|body_part=Head|height=High Pass|recipient_position=Left Center Back|type=Recovery,21
484,Pass|body_part=Head|height=Low Pass|recipient_position=Left Wing,21
485,Pass|body_part=Left Foot|height=Ground Pass|recipient_position=Right Center Back|switch=True,21
486,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Center Back|type=Free Kick,21
487,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Goalkeeper|type=Goal Kick,21
488,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Center Midfield|type=Free Kick,21
489,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Right Center Midfield|type=Free Kick,21
490,Pass|body_part=Right Foot|height=Low Pass|outcome=Incomplete|recipient_position=Left Back,21
491,Pass|height=High Pass|recipient_position=Left Center Midfield|type=Throw-in,21
492,Pass|height=Low Pass|recipient_position=Right Midfield|type=Throw-in,21
493,Shot|aerial_won=True|body_part=Head|outcome=Goal|technique=Normal|type=Open Play,21
494,Goal Keeper|body_part=Right Foot|outcome=Clear|type=Keeper Sweeper,20
495,Pass|aerial_won=True|height=High Pass|recipient_position=Right Center Midfield|type=Recovery,20
496,Pass|body_part=Left Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Left Midfield,20
497,Pass|body_part=Left Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Right Wing Back,20
498,Pass|body_part=Left Foot|height=High Pass|outcome=Incomplete|recipient_position=Left Midfield,20
499,Pass|body_part=Left Foot|height=High Pass|outcome=Incomplete|recipient_position=Left Wing Back,20
500,Pass|body_part=Left Foot|height=Low Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield,20
501,Pass|body_part=Left Foot|height=Low Pass|outcome=Incomplete|recipient_position=Left Center Forward,20
502,Pass|body_part=Right Foot|height=Ground Pass|outcome=Incomplete|recipient_position=Left Center Back,20
503,Pass|body_part=Right Foot|height=Ground Pass|recipient_position=Left Midfield|type=Recovery,20
504,Pass|body_part=Right Foot|height=High Pass|outcome=Incomplete|switch=True,20
505,Pass|body_part=Right Foot|height=High Pass|recipient_position=Right Attacking Midfield,20
506,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Right Back|type=Recovery,20
507,Pass|body_part=Right Foot|height=Low Pass|recipient_position=Right Center Back|switch=True,20
508,Shot|body_part=Left Foot|first_time=True|outcome=Off T|technique=Volley|type=Open Play,20
